id;nama;coor
1;Pt. Barokah;-7.19436875776568,109.16478762547474
2;joglo ageng;-7.192418363722993,109.16003609826417
3;sun Qta;-7.190681677683594,109.15985564416556
4;duta wisata;-7.196660676292082,109.16374529866073
5;guci ashafana;-7.197692002858793,109.16569942883218
6;pancuran 13;-7.198765166877412,109.16451281386135
7;guciku;-7.194618909152016,109.16217765612278
8;guci gung;-7.187594720524753,109.15775902882913
9;salma resort;-7.186565349768663,109.15908636948922
10;rindu alam;-7.184202259374102,109.1546556693746
11;guci forest;-7.190373833056811,109.16339557116939
12;baron hill;-7.198824455392488,109.16290884287518
13;golden park;-7.187320172556305,109.15613491427283
14;curug serwiti;-7.199743766019631,109.16451616987626
15;the geong;-7.198696032962612,109.16237211191643
16;graha tirta ayu;-7.19690592045683,109.16281461432574
17;kampung goetci;-7.195422131473148,109.16178199860737
18;shtepine café;-7.197306566539969,109.16414951157763
19;g'bugs shelter;-7.186285504932756,109.16038672722117
20;café cod;-7.184782085154852,109.1572679810377
21;sabda alam;-7.19299967499047,109.163430069765
22;guci kencana;-7.186513344893139,109.15937476804041
23;rawamba;-7.186510851855129,109.1612857796236
24;gran mega guci;-7.196830270692982,109.16498826788299
25;the onsen;-7.196170365785507,109.16391063835432
26;gulala azana;-7.18612762025371,109.1580354779232
27;gran dian hotel;-7.17739914813736,109.15172956260598
